gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,blk_n,span_n
0,full,5349,36,2,1968,0,25,1,0,7,0,0,3302,1798,11.0,79211,53.1,53.1,66.0,497,0.2,4,0
1,full,13032,30,1,6591,0,27,1,0,14,0,0,6361,89,1.5,175741,116.2,116.2,118.0,1013,0.3,4,0
2,full,26256,70,2,13205,0,28,1,0,4,0,0,12938,229,3.0,350687,230.6,230.6,234.0,1943,0.5,4,0
3,full,51377,41,2,24024,0,36,1,0,5,0,0,27258,1977,50.3,629775,413.2,413.2,464.0,3792,1.0,4,0
4,full,85952,31,1,30105,0,28,1,0,4,0,0,55770,11190,315.3,786009,515.7,515.7,832.0,7524,1.9,4,0
5,full,108920,13,1,30860,0,36,1,0,5,0,0,77984,19879,527.5,786009,515.4,515.4,1044.0,13335,3.9,4,0
6,full,114728,32,1,31182,0,40,0,1,5,0,0,83456,22390,537.0,786009,515.3,515.3,1054.0,22549,8.9,4,0
7,full,114980,34,2,31237,0,41,1,1,4,0,0,83651,23670,546.7,786009,515.3,515.3,1062.0,35835,17.7,4,0
8,full,116163,41,2,31662,0,43,1,1,4,0,0,84401,25156,556.7,786009,515.2,515.2,1072.0,53205,32.0,4,0
9,full,120053,43,2,31205,0,41,0,1,4,0,0,88747,26190,566.7,786008,515.1,515.1,1082.0,74289,46.1,4,0
10,full,123241,34,2,33089,0,56,1,1,4,0,0,90043,27277,576.6,786009,515.0,515.0,1092.0,98827,64.1,4,0
11,full,130381,36,2,38559,0,92,1,0,6,0,0,91674,29363,586.5,786007,514.9,514.9,1102.0,126458,84.7,4,0
12,full,123132,22,2,31535,0,47,1,0,4,0,0,91510,29092,596.4,786009,514.7,514.7,1112.0,156964,106.0,4,0
13,full,133462,23,2,32237,0,54,0,0,5,0,0,101127,32105,606.2,786008,514.7,514.7,1122.0,190107,135.1,4,0
14,full,133874,26,2,33891,0,62,1,0,5,0,0,99874,32388,616.2,786009,514.5,514.5,1132.0,225687,166.9,4,0
15,full,133434,29,2,35822,0,70,1,1,4,0,0,97495,31963,625.9,786008,514.7,514.7,1142.0,263372,201.2,4,0
16,full,131546,38,2,32809,0,58,1,0,5,0,0,98621,32993,635.5,786009,514.7,514.7,1152.0,303277,237.2,4,0
17,full,133223,27,1,32911,0,57,0,1,5,0,0,100211,33662,645.7,786005,514.8,514.8,1162.0,345073,274.8,4,0
18,full,133040,27,1,31817,0,55,1,1,4,0,0,101124,34185,654.6,786009,514.8,514.8,1170.0,388706,314.0,4,0
19,full,146899,35,2,33939,0,59,0,1,5,0,0,112848,38585,663.3,786009,514.9,514.9,1180.0,434055,354.3,4,0
20,full,137078,25,2,32455,0,63,1,1,4,0,0,104518,36637,672.6,786009,514.9,514.9,1188.0,480924,400.9,4,0
21,full,139969,26,1,33508,0,82,1,1,4,0,0,106336,36638,681.3,786009,515.0,515.0,1198.0,529191,438.8,4,0
22,full,141465,21,2,33909,0,72,0,0,5,0,0,107446,37423,689.2,786009,515.1,515.1,1206.0,578780,492.5,4,0
23,full,158267,36,2,41304,1,113,1,0,5,0,0,116795,43911,697.5,786009,515.1,515.1,1214.0,629656,538.0,4,0
24,full,146917,29,2,37473,0,74,1,1,4,0,0,109322,38748,706.3,786007,515.0,515.0,1222.0,681722,588.0,4,0
25,full,148191,35,1,35271,0,88,1,0,4,0,0,112780,40547,713.9,786009,515.1,515.1,1230.0,734866,642.4,4,0
26,full,150478,22,2,36969,0,126,1,1,5,0,0,113344,40694,721.4,786009,515.2,515.2,1238.0,789058,698.2,4,0
27,full,155245,39,2,40483,0,101,1,0,4,0,0,114604,41359,728.9,786007,515.3,515.3,1246.0,844257,758.0,4,0
28,full,156813,20,2,37440,0,95,1,1,5,0,0,119238,44020,737.1,786009,515.2,515.2,1254.0,900235,807.4,4,0
29,full,158591,34,2,37847,0,84,1,1,5,0,0,120603,45101,743.8,786009,515.3,515.3,1260.0,957144,874.8,4,0
30,full,154062,35,2,35611,0,93,1,1,5,0,0,118303,43585,751.1,786009,515.1,515.1,1268.0,1014822,931.0,4,0
31,full,156422,41,2,37589,1,108,1,0,5,0,0,118665,43644,757.2,786009,515.3,515.3,1274.0,1073186,986.8,4,0
32,full,156561,28,2,36918,0,138,1,0,5,0,0,119459,44279,763.8,786008,515.3,515.3,1280.0,1132424,1045.1,4,0
33,full,154503,26,1,35350,0,96,0,0,5,0,0,119014,44321,770.6,786009,515.2,515.2,1286.0,1192344,1110.7,4,0
34,full,156325,78,1,35318,0,102,1,1,5,0,0,120798,45011,775.9,786009,515.4,515.4,1292.0,1252959,1167.7,4,0
35,full,174350,27,2,43670,0,218,1,0,7,0,0,130416,51879,782.2,786009,515.5,515.5,1298.0,1314097,1221.1,4,0
36,full,166914,28,2,43734,0,136,1,0,5,0,0,122998,46060,787.9,786009,515.4,515.4,1304.0,1375745,1275.4,4,0
37,full,163808,28,2,38192,0,115,1,1,5,0,0,125454,49357,792.9,786009,515.3,515.3,1310.0,1438028,1358.8,4,0
38,full,161778,29,2,38175,1,106,1,1,5,0,0,123449,46537,798.3,786009,515.1,515.1,1314.0,1500828,1440.6,4,0
39,full,169807,22,2,43873,0,209,1,0,6,0,0,125684,48070,802.7,786007,515.2,515.2,1318.0,1564176,1492.6,4,0
40,full,162999,33,2,38758,0,157,1,0,4,0,0,124034,47047,808.5,786009,515.2,515.2,1324.0,1627953,1564.7,4,0
41,full,161843,73,2,36044,0,111,1,0,4,0,0,125600,47972,813.1,786009,515.1,515.1,1330.0,1692240,1633.6,4,0
42,full,168246,39,2,39805,0,134,1,0,4,0,0,128250,49303,818.0,786009,515.0,515.0,1334.0,1756918,1704.1,4,0
43,full,167118,28,2,39676,0,106,1,1,5,0,0,127291,48623,822.5,786009,514.9,514.9,1338.0,1822053,1769.6,4,0
44,full,168342,34,2,40382,0,132,1,0,5,0,0,127778,50336,826.7,786009,514.8,514.8,1342.0,1887685,1836.2,4,0
45,full,164498,22,2,32015,0,174,0,0,13,0,0,132261,53693,958.6,589586,386.7,386.7,1346.0,1953711,1880.4,4,0
46,full,126434,9,1,10387,0,51,1,0,6,0,0,115967,52329,1214.9,196743,130.3,130.3,1346.0,1991445,1890.0,4,0
47,full,87539,10,1,11171,0,62,1,0,12,0,0,76270,54428,1215.0,196743,130.3,130.3,1346.0,1994289,1890.7,4,0
48,full,86390,7,2,11012,0,41,1,1,5,0,0,75313,53585,1214.9,196743,130.3,130.3,1346.0,1998035,1891.5,4,0
49,full,81306,7,1,10268,0,44,1,0,4,0,0,70971,49567,1215.0,196743,130.3,130.3,1346.0,2002759,1892.5,4,0
50,full,79417,8,1,10088,1,60,1,0,5,0,0,69244,48316,1215.0,196743,130.2,130.2,1346.0,2008370,1893.5,4,0
51,full,80626,6,1,10825,0,48,1,1,4,0,0,69730,48301,1215.1,196743,130.2,130.2,1346.0,2014816,1894.6,4,0
52,full,81718,4,1,9984,0,36,1,0,4,0,0,71677,49827,1215.1,196743,130.1,130.1,1346.0,2022016,1895.7,4,0
