utc,sha,label,endpoint,gc,iter,conns,dur_s,rps,lat_mean_ms,lat_p50_ms,lat_p90_ms,lat_p99_ms,errors,peak_ws_mb,avg_ws_mb
2026-07-07T17:37:51,cb8abd1,oc-custom-1,home,custom,1,128,15,4920,25.95,23.97,44.16,67.67,0,948.4,939.4
2026-07-07T17:38:06,cb8abd1,oc-custom-1,home,custom,2,128,15,4603,27.84,24.05,45.44,186.22,0,967.9,953.7
2026-07-07T17:38:22,cb8abd1,oc-custom-1,home,custom,3,128,15,4958,25.79,24.22,44.48,62.80,0,972.7,971.8
2026-07-07T17:38:57,cb8abd1,oc-custom-1,post,custom,1,128,15,247,505.08,235.37,1349.87,2791.87,0,660.7,651.0
2026-07-07T17:39:13,cb8abd1,oc-custom-1,post,custom,2,128,15,259,493.73,210.81,1526.49,2945.44,0,665.5,663.2
2026-07-07T17:39:30,cb8abd1,oc-custom-1,post,custom,3,128,15,129,948.45,525.30,2317.60,4163.01,0,676.1,667.7
2026-07-07T17:40:19,cb8abd1,oc-stockwks-1,home,stock-wks,1,128,15,1593,80.12,68.69,133.47,251.66,0,390.7,366.9
2026-07-07T17:40:35,cb8abd1,oc-stockwks-1,home,stock-wks,2,128,15,1744,73.29,65.31,119.43,186.44,0,406.1,381.2
2026-07-07T17:40:50,cb8abd1,oc-stockwks-1,home,stock-wks,3,128,15,1694,75.34,67.86,119.85,221.06,0,387.2,375.5
2026-07-07T17:41:25,cb8abd1,oc-stockwks-1,post,stock-wks,1,128,15,210,615.20,225.27,1734.39,4696.90,0,408.4,397.2
2026-07-07T17:41:41,cb8abd1,oc-stockwks-1,post,stock-wks,2,128,15,225,552.22,309.85,1651.17,2869.23,0,418.3,407.7
2026-07-07T17:42:00,cb8abd1,oc-stockwks-1,post,stock-wks,3,128,15,171,803.78,408.36,2306.31,5718.00,0,428.0,411.4
2026-07-07T17:42:32,cb8abd1,oc-stockh8-1,home,stock-svr-h8,1,128,15,5550,23.05,18.12,37.30,61.69,0,902.1,890.0
2026-07-07T17:42:47,cb8abd1,oc-stockh8-1,home,stock-svr-h8,2,128,15,5175,24.73,18.84,41.37,171.36,0,951.1,923.2
2026-07-07T17:43:03,cb8abd1,oc-stockh8-1,home,stock-svr-h8,3,128,15,5198,24.60,19.50,40.61,172.00,0,1040.1,986.1
2026-07-07T17:43:37,cb8abd1,oc-stockh8-1,post,stock-svr-h8,1,128,15,221,566.12,211.72,1654.33,3375.21,0,1388.0,1145.2
2026-07-07T17:43:54,cb8abd1,oc-stockh8-1,post,stock-svr-h8,2,128,15,243,519.55,238.05,1392.52,3096.20,0,1142.5,1134.8
2026-07-07T17:44:10,cb8abd1,oc-stockh8-1,post,stock-svr-h8,3,128,15,186,676.55,341.31,2091.30,4936.43,0,1142.6,1142.5
2026-07-07T17:45:07,cb8abd1,oc-custom-2,home,custom,1,128,15,5113,24.96,24.06,43.77,60.17,0,967.5,958.9
2026-07-07T17:45:22,cb8abd1,oc-custom-2,home,custom,2,128,15,4848,26.39,24.84,44.80,64.22,0,970.1,966.1
2026-07-07T17:45:37,cb8abd1,oc-custom-2,home,custom,3,128,15,5003,25.57,23.87,43.43,64.04,0,1011.6,976.2
2026-07-07T17:46:10,cb8abd1,oc-stockh8-2,home,stock-svr-h8,1,128,15,5111,25.06,18.58,43.19,178.61,0,909.2,880.3
2026-07-07T17:46:25,cb8abd1,oc-stockh8-2,home,stock-svr-h8,2,128,15,5371,23.82,17.87,39.56,76.47,0,960.7,950.9
2026-07-07T17:46:40,cb8abd1,oc-stockh8-2,home,stock-svr-h8,3,128,15,5287,24.18,17.69,41.15,183.75,0,986.6,976.8
2026-07-07T17:48:30,cb8abd1,oc-custom-60s,home,custom,1,128,60,4823,26.57,24.08,44.48,90.93,0,1012.5,978.8
2026-07-07T17:49:48,cb8abd1,oc-stockh8-60s,home,stock-svr-h8,1,128,60,5009,25.56,18.55,43.10,184.50,0,932.9,915.8
