gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason,cold_n,fitdisc_n,disc_mb,req_mb
0,young,8892,60,13,6445,0,256,1,0,1146,4,0,813,0,0.0,173160,17.3,17.3,108.0,479,0.8,0.1,0.7,0.0,72,0,12,479,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,38,11.6,16.1,13,22.1,0,64.0,,77,0,0.2,0.5
1,young,5429,164,8,2430,0,12,1,0,102,1713,38,955,4132,16.9,32055,5.3,22.5,150.0,986,5.8,0.1,1.3,4.1,129,0,116,832,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,60,49.4,14.7,13,18.7,0,64.0,,109,0,0.3,0.5
2,young,5735,304,7,2175,0,11,1,1,76,1580,60,1465,5667,67.1,32899,2.5,25.0,160.0,1530,7.6,0.1,1.6,5.6,129,0,526,978,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,67,59.7,12.4,13,18.7,0,64.0,,140,0,0.3,0.6
3,full-cycle,14911,40,3177,0,0,0,1,1,138,1251,67,161,7833,128.9,153830,16.7,16.7,176.0,2156,9.9,0.2,2.0,7.3,129,0,1099,1131,3217,6710,3800,126089,55,2242,84,0,0,0,1106,0,0.0,5,11,59,108.4,9.0,13,21.7,0,64.0,starved,226,0,0.3,0.6
4,young,5250,47,8,2885,0,12,1,0,50,1675,69,514,13459,204.7,34093,4.7,21.3,176.0,3601,14.2,0.2,2.4,10.9,174,0,2549,1779,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,75,97.5,9.0,13,19.1,0,64.0,,236,0,0.4,0.8
5,young,6529,26,7,3542,0,10,1,0,50,1857,73,991,15598,262.1,35665,2.7,24.1,176.0,4800,16.3,0.3,2.7,12.4,176,0,3797,2585,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,75,80.9,9.0,13,19.0,0,64.0,,268,0,0.4,0.9
6,young,5542,48,8,2239,0,12,1,0,49,1755,74,1321,17288,318.7,37819,2.8,26.8,176.0,5470,17.7,0.3,3.0,13.4,176,0,4522,2953,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,75,71.0,9.0,13,19.0,0,64.0,,303,0,0.5,0.9
7,young,6187,36,7,2969,0,13,1,0,53,1792,75,1197,18745,377.9,33100,2.5,29.3,176.0,6002,19.0,0.3,3.2,14.3,176,0,5099,3172,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,75,63.1,9.0,13,19.0,0,64.0,,336,0,0.5,1.0
8,young,4828,102,8,2227,0,10,1,0,44,1325,75,1056,20464,438.4,26795,2.0,31.3,192.0,6575,20.3,0.3,3.5,15.3,176,0,5661,3348,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,83,59.3,21.5,13,19.0,0,64.0,,370,0,0.5,1.1
9,young,4323,30,7,1620,0,13,1,0,52,1431,83,1077,21778,497.1,29594,2.2,33.5,198.0,7154,21.6,0.3,3.7,16.1,176,0,6172,3577,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,86,61.1,19.7,13,19.0,0,64.0,,400,0,0.5,1.1
