gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason,cold_n,fitdisc_n,disc_mb,req_mb
0,young,9351,299,8,6493,0,448,1,0,1098,2,0,835,0,0.0,171908,17.2,17.2,112.0,483,1.0,0.1,0.7,0.1,67,0,12,481,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,39,9.9,17.9,13,22.1,0,64.0,,62,0,0.2,0.4
1,young,5417,27,6,2920,0,8,1,0,81,1443,39,866,2236,16.7,34006,5.1,22.3,152.0,978,4.1,0.1,1.5,2.3,121,0,97,832,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,62,51.2,14.6,13,18.9,0,128.0,,95,0,0.2,0.5
2,young,5521,20,6,2874,0,10,1,0,61,1622,62,890,3951,69.0,36856,2.7,25.0,228.0,2030,6.6,0.2,2.3,3.7,121,0,528,1499,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,0,89,99.0,14.6,13,18.9,0,192.0,,129,0,0.2,0.6
3,full-cycle,14173,29,2686,0,0,0,1,1,90,957,81,133,6903,193.9,158755,17.0,17.0,310.0,3702,9.8,0.3,3.8,4.9,125,0,1442,2782,2715,6522,3580,133415,104,2262,117,0,0,0,1284,0,64.0,7,16,87,170.4,13.2,13,21.5,0,192.0,starved,220,0,0.3,0.7
4,young,5611,30,7,3034,0,9,1,0,51,1421,103,998,22459,441.4,32238,5.3,22.3,310.0,7602,17.7,0.5,4.9,10.7,182,0,5230,4394,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0,0,118,153.0,22.1,13,18.1,0,192.0,,227,0,0.5,1.1
5,young,4358,23,8,1609,0,15,1,0,50,1781,118,813,26564,602.4,38553,2.9,25.2,310.0,9216,20.1,0.6,5.7,12.0,182,0,6497,5531,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,134,187.9,13.4,13,18.1,0,320.0,,258,0,0.6,1.3
6,young,5742,48,7,2743,0,10,1,0,46,1849,134,973,30781,790.7,38613,2.8,28.0,432.0,11862,24.3,0.7,7.5,13.6,182,0,8060,7588,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,173,257.6,14.9,13,18.1,0,320.0,,296,0,0.7,1.5
7,young,5334,28,8,2500,0,13,1,0,51,1627,173,1046,40727,1106.8,38658,2.9,31.0,440.0,14514,28.7,0.9,9.0,15.7,182,0,10179,9647,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,199,303.4,15.0,13,18.1,0,320.0,,332,0,0.8,1.8
8,young,4678,23,7,2199,0,11,1,0,50,1317,199,1004,48320,1418.3,34897,2.5,33.5,446.0,17187,32.3,1.0,10.1,17.3,182,0,12673,11804,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,210,320.4,13.4,13,18.1,0,320.0,,369,0,0.9,2.1
9,young,5255,65,8,2729,0,11,1,0,47,1338,210,995,57522,1740.8,32589,2.5,36.0,456.0,19872,35.7,1.4,11.1,18.7,182,0,15287,13983,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,215,321.7,15.7,13,18.1,0,320.0,,399,0,1.0,2.3
