gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason,cold_n,fitdisc_n,disc_mb,req_mb
0,young,11627,51,8,8862,0,367,1,0,1150,4,0,1048,0,0.0,183504,14.6,14.6,88.0,513,0.9,0.1,0.7,0.0,5,0,16,510,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,40,10.1,16.2,1,1.9,0,64.0,,65,0,0.2,0.4
1,young,4807,20,6,1741,0,8,1,0,85,1929,40,984,3002,15.5,32625,2.4,17.1,134.0,1041,4.6,0.1,1.3,3.0,5,0,102,897,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,66,31.3,14.1,1,1.9,0,128.0,,95,0,0.2,0.4
2,young,3866,21,7,1776,0,9,1,0,60,1519,66,436,4001,45.8,31110,2.1,19.2,232.0,2091,6.9,0.2,2.2,4.0,5,0,375,1693,0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,0,97,50.6,14.6,1,1.9,0,192.0,,123,0,0.3,0.5
3,full-cycle,13432,43,2010,0,0,0,1,1,326,608,78,356,5951,133.8,162232,13.5,13.5,346.0,3709,9.9,0.4,3.9,4.9,5,0,861,3011,2053,6928,3127,146089,102,2004,50,0,0,0,1269,0,158.0,3,9,81,147.1,5.6,1,1.9,0,192.0,starved,185,0,0.3,0.7
4,young,5131,85,6,2309,0,9,1,0,48,1684,90,943,18544,352.8,30090,2.1,15.6,346.0,9347,18.2,0.6,5.6,10.2,5,0,6171,7663,0,0,0,0,0,0,0,0,0,0,0,0,112.0,0,0,116,108.0,14.0,1,1.9,0,192.0,,194,0,0.6,1.3
5,full-cycle,11658,39,1497,0,0,0,1,1,59,531,92,69,22136,526.2,157178,13.3,13.3,346.0,11040,20.6,0.7,6.4,11.4,5,0,7166,8907,1536,7069,1810,149485,18,1156,28,0,0,0,1184,0,144.0,6,11,83,156.5,11.2,1,1.9,0,192.0,starved,260,0,0.7,1.5
6,young,4753,24,7,2034,0,26,1,1,67,1475,94,1052,28382,760.4,29961,2.1,15.4,346.0,16529,25.3,0.9,7.7,13.8,5,0,12389,13193,0,0,0,0,0,0,0,0,0,0,0,0,114.0,0,0,115,108.8,12.6,1,1.9,0,192.0,,264,0,1.0,2.0
7,full-cycle,12416,21,2105,0,0,0,1,0,58,519,89,68,31852,917.3,156215,13.2,13.2,346.0,18195,27.8,1.0,8.5,15.0,5,0,13389,14384,2126,6594,2422,148168,16,1753,61,0,0,0,1215,0,132.0,3,11,92,172.4,5.6,1,1.9,0,192.0,starved,330,0,1.1,2.2
8,young,5405,33,8,2123,0,13,1,0,44,1864,103,1248,39171,1162.2,29379,2.1,15.3,346.0,23824,31.9,1.2,9.9,16.8,5,0,18890,19169,0,0,0,0,0,0,0,0,0,0,0,0,112.0,0,0,116,112.8,14.7,1,1.9,0,192.0,,336,0,1.3,2.8
9,full-cycle,11330,24,1321,0,0,0,1,0,46,707,85,54,42438,1308.5,156349,13.3,13.3,346.0,25495,34.0,1.3,10.5,17.8,5,0,19923,20465,1345,6604,2079,148557,24,1213,74,0,0,0,1249,0,136.0,3,13,88,168.9,5.6,1,1.9,0,192.0,starved,401,0,1.4,3.0
