gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason,cold_n,fitdisc_n,disc_mb,req_mb
0,young,8203,86,9,5462,0,362,1,1,1280,3,0,878,0,0.0,202953,15.8,15.8,88.0,510,0.9,0.1,0.7,0.0,11,0,12,508,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,38,9.0,12.5,1,1.9,0,64.0,,60,0,0.2,0.4
1,young,6613,21,7,2461,0,9,1,1,151,2801,38,1105,2840,18.8,90123,6.7,22.5,136.0,1037,4.5,0.1,1.2,2.9,11,0,93,873,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,67,2.9,15.2,1,1.9,0,64.0,,91,0,0.2,0.5
2,young,4482,21,5,1737,0,8,1,0,61,1985,67,637,3077,21.4,63723,4.2,26.7,192.0,1555,5.4,0.2,1.8,3.1,11,0,125,1366,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,95,24.7,10.1,1,1.9,0,64.0,,116,0,0.3,0.6
3,full-cycle,12178,42,1859,0,0,0,1,0,311,815,116,335,3724,45.9,184203,15.6,15.6,244.0,2209,7.4,0.4,2.7,3.7,11,0,444,1722,1901,6909,2589,165123,29,1375,31,0,0,0,756,0,0.0,3,3,115,205.6,5.5,1,1.9,0,64.0,starved,166,0,0.4,0.8
4,young,5238,45,5,1767,0,11,1,1,51,2706,117,621,12020,244.0,62529,4.0,19.7,244.0,4522,8.7,0.5,3.2,4.2,11,0,2793,3537,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,121,151.1,5.5,1,1.9,0,64.0,,185,0,0.6,1.3
5,young,6653,154,6,1476,0,17,1,1,60,3422,103,1480,12553,266.5,66605,4.2,23.9,244.0,6095,9.7,0.5,3.7,4.4,11,0,4412,4972,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,121,94.7,5.5,1,1.9,0,64.0,,212,0,0.8,1.7
6,full-cycle,12898,20,1497,0,0,0,1,0,54,312,91,76,12975,283.4,182275,15.5,15.5,244.0,7605,10.7,0.6,4.1,4.8,11,0,5968,6398,1516,7552,2638,178355,73,2145,28,0,0,0,1148,0,16.0,6,8,99,180.0,10.9,1,1.9,0,64.0,starved,266,0,1.0,2.0
7,young,5505,51,4,2190,0,16,1,0,47,2735,103,406,17924,426.9,61085,4.0,19.5,244.0,9337,13.5,0.6,4.5,6.8,11,0,7715,7248,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,113,135.4,10.9,1,1.9,0,64.0,,273,0,1.2,2.4
8,young,4710,26,3,483,0,20,1,1,60,2922,102,1153,18871,467.1,58138,3.8,23.3,244.0,11934,14.9,0.7,5.1,7.0,11,0,10334,9617,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,113,78.2,10.9,1,1.9,0,64.0,,294,0,1.4,3.0
9,full-cycle,12087,42,2159,0,0,0,1,0,53,858,94,59,19191,480.8,178290,15.3,15.3,244.0,13592,15.8,0.7,5.5,7.2,11,0,12026,11261,2201,7392,1493,169893,15,530,24,0,0,0,992,0,30.0,2,0,104,178.2,3.7,1,1.9,0,64.0,starved,340,0,1.7,3.4
10,young,4577,28,6,1621,0,11,1,0,44,2405,102,416,24398,679.9,71426,4.7,20.0,244.0,15516,16.8,0.8,6.0,7.4,11,0,13994,12929,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,0,105,126.2,1.9,1,1.9,0,64.0,,365,0,1.9,3.8
11,young,5116,32,6,1165,0,14,1,1,53,2767,100,1026,24867,698.7,63224,4.1,24.1,244.0,17407,17.9,0.8,6.4,7.7,11,0,15927,14746,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,0,105,69.7,1.9,1,1.9,0,64.0,,390,0,2.1,4.3
12,full-cycle,11858,107,1664,0,0,0,1,1,45,1003,85,52,25251,714.7,182878,15.7,15.7,244.0,19563,19.1,0.9,6.9,8.0,11,0,18142,16809,1770,7111,1584,169303,16,483,26,0,0,0,1386,0,52.0,0,11,84,155.4,0.0,1,1.9,0,64.0,starved,443,0,2.3,4.7
13,young,5100,26,4,1295,0,11,1,1,40,2936,87,740,28956,861.7,59936,3.9,19.6,244.0,22409,22.0,1.0,7.5,9.8,11,0,21002,17173,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0,0,95,103.6,0.0,1,1.9,0,64.0,,461,0,2.6,5.3
14,young,5766,64,6,1729,0,9,1,0,38,2754,87,1100,29922,896.3,61323,3.9,23.5,244.0,24417,23.6,1.1,8.0,10.6,11,0,23046,18469,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0,0,95,52.1,0.0,1,1.9,0,64.0,,484,0,2.8,5.7
15,full-cycle,13161,68,1729,0,0,0,2,0,61,931,105,68,30394,915.1,182870,15.7,15.7,244.0,25627,24.6,1.1,8.4,10.8,11,0,24147,19566,1796,7912,2238,171971,17,1154,62,0,0,0,1195,0,14.0,7,3,104,181.0,12.9,1,1.9,0,64.0,starved,544,0,2.9,6.0
16,young,4369,32,8,1062,0,17,1,1,52,2631,107,518,34828,1090.4,62327,4.0,19.7,244.0,27662,25.9,1.2,8.9,11.3,11,0,26201,21166,0,0,0,0,0,0,0,0,0,0,0,1,16.0,0,0,113,133.7,11.0,1,1.9,0,64.0,,554,0,3.2,6.5
17,young,4456,21,6,825,0,12,1,0,44,2579,98,927,35311,1111.6,57704,3.8,23.4,244.0,29549,26.9,1.2,9.4,11.5,11,0,28110,23021,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,113,76.1,11.0,1,1.9,0,64.0,,574,0,3.4,7.0
18,full-cycle,11248,28,898,0,0,0,1,0,50,833,87,55,35689,1126.8,181242,15.5,15.5,244.0,31458,27.9,1.3,9.8,11.7,11,0,30055,24858,926,7781,1374,173055,20,424,37,0,0,0,1149,0,22.0,4,4,102,176.3,7.5,1,1.9,0,64.0,starved,614,0,3.7,7.5
19,young,4568,27,4,1031,0,20,1,0,49,2916,103,472,39377,1288.0,62424,4.0,19.6,244.0,32476,29.0,1.3,10.1,12.3,11,0,31094,25651,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,0,109,131.8,5.6,1,1.9,0,64.0,,625,0,3.7,7.7
20,young,4274,28,5,351,0,17,1,0,56,2715,102,1073,40078,1320.2,59463,3.8,23.4,244.0,34253,29.9,1.4,10.5,12.5,11,0,32904,27398,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,0,109,75.4,5.6,1,1.9,0,64.0,,645,0,4.0,8.1
21,full-cycle,8940,20,605,0,0,0,1,0,46,161,80,51,40472,1338.5,185595,15.9,15.9,244.0,36195,31.0,1.6,11.0,12.7,11,0,34871,29279,626,6467,499,182413,15,240,27,0,0,0,1341,0,36.0,1,1,101,168.3,1.9,1,1.9,0,64.0,starved,675,0,4.2,8.6
22,young,4560,85,5,846,0,14,1,0,47,2994,97,540,44499,1504.7,59537,3.8,19.7,244.0,37856,32.3,1.6,11.7,12.9,11,0,36560,30603,0,0,0,0,0,0,0,0,0,0,0,0,38.0,0,0,102,119.2,0.0,1,1.9,0,64.0,,694,0,4.4,9.0
