gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason,cold_n,fitdisc_n,disc_mb,req_mb
0,young,9141,47,11,6452,0,332,1,0,1175,5,0,945,0,0.0,168568,16.9,16.9,108.0,480,0.9,0.1,0.7,0.0,73,0,12,479,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,37,10.4,14.2,12,20.2,0,64.0,,67,0,0.2,0.4
1,young,5438,30,7,2936,0,8,1,0,78,1431,37,884,3310,19.9,32876,5.3,22.2,150.0,980,4.9,0.1,1.2,3.3,132,0,101,804,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,62,51.4,15.6,12,16.7,0,128.0,,96,0,0.2,0.4
2,young,6896,33,8,4013,0,13,1,0,86,1612,62,1051,4930,72.1,33908,2.5,24.8,226.0,2037,7.4,0.2,2.0,4.8,132,0,529,1469,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,91,103.3,15.5,12,16.7,0,192.0,,128,0,0.3,0.5
3,full-cycle,16481,37,2712,0,0,0,1,1,92,1223,86,116,8545,197.1,167216,17.8,17.8,310.0,3748,11.7,0.3,3.5,7.1,132,0,1516,2572,2749,7929,4402,136995,86,2897,72,0,0,0,1316,0,60.0,2,16,95,183.4,3.7,12,19.7,0,192.0,starved,223,0,0.3,0.7
4,young,4735,34,8,2026,0,9,1,0,43,1709,110,839,21833,451.3,36010,5.8,23.5,310.0,7439,21.2,0.4,4.5,14.9,195,0,5182,4575,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,113,161.8,3.7,12,16.0,0,192.0,,226,0,0.5,1.0
5,young,5521,22,6,2910,0,9,1,0,42,1634,113,834,25605,610.3,39153,2.9,26.4,310.0,9114,24.8,0.5,6.1,16.2,195,0,6586,5826,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,136,188.4,15.4,12,16.0,0,320.0,,261,0,0.6,1.2
6,young,5976,106,8,3141,0,13,1,0,51,1599,136,993,30909,797.6,38536,3.1,29.6,428.0,11761,28.6,0.6,7.7,17.8,201,0,8145,7934,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0,0,178,270.2,11.0,12,15.6,0,320.0,,300,0,0.7,1.5
7,young,6318,33,10,3650,0,13,1,0,50,1376,178,1121,40696,1112.3,38151,4.1,33.7,440.0,14387,32.5,0.7,8.9,19.6,227,0,10358,10017,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,204,310.5,16.1,12,14.1,0,320.0,,350,0,0.8,1.7
8,young,6693,38,7,3240,0,18,1,0,70,1809,204,1444,61244,1426.9,37669,2.8,36.4,448.0,17060,36.4,0.8,10.0,21.8,227,0,12909,12167,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,212,321.9,14.4,12,14.1,0,320.0,,388,0,0.9,2.0
9,young,6717,56,7,3220,0,17,2,0,67,1541,212,1621,70841,1748.8,31529,2.3,38.7,456.0,19737,39.7,0.9,11.0,23.2,227,0,15540,14438,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,216,322.2,15.6,12,14.1,0,320.0,,428,0,1.0,2.2
10,young,7467,80,10,4499,0,12,1,0,55,1359,216,1351,79754,2068.6,28752,2.1,40.8,464.0,22389,42.6,1.0,12.0,24.3,227,0,18182,16743,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,220,323.3,16.5,12,14.1,0,320.0,,474,0,1.1,2.5
11,young,4797,66,8,1940,0,12,1,0,53,1425,220,1199,95154,2390.2,31758,2.4,43.2,470.0,25078,46.1,1.1,12.9,25.9,227,0,20845,19008,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,223,324.8,15.7,12,14.1,0,320.0,,516,0,1.3,2.7
12,young,5281,26,9,1680,0,12,1,0,55,1774,223,1668,103474,2713.0,37343,2.8,46.0,474.0,27775,49.7,1.2,14.0,27.6,227,0,23531,21181,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,225,324.6,13.9,12,14.1,0,320.0,,561,0,1.4,3.0
13,young,5974,28,11,2576,0,13,2,1,52,1649,225,1510,115814,3036.4,39022,2.9,48.8,480.0,30506,53.7,1.3,15.1,29.6,227,0,26226,23479,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,228,325.1,13.1,12,14.1,0,320.0,,600,0,1.5,3.3
14,young,6811,142,8,3281,0,14,2,0,54,1607,228,1601,127742,3358.8,37715,2.8,51.6,488.0,33230,58.1,1.3,16.4,31.8,227,0,28917,25545,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,232,325.0,14.5,12,14.1,0,320.0,,642,0,1.6,3.5
15,young,6033,122,10,2585,0,15,2,1,67,1551,232,1610,136238,3681.0,30392,2.2,53.8,492.0,35973,62.0,1.4,17.4,34.0,227,0,31617,27622,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,234,326.7,11.2,12,14.1,0,320.0,,683,0,1.7,3.8
