gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason
0,young,517,12,2,374,0,7,0,0,34,4,0,70,0,0.0,1780,0.2,0.2,66.0,513,0.3,0.0,0.2,0.0,0,0,4,513,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,32,61.8,1.9,0,0.0,0,64.0,
1,young,335,8,1,168,0,2,1,0,6,96,32,48,9835,61.8,1508,0.1,0.3,66.0,1024,3.2,0.0,0.3,2.8,0,0,496,896,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,63.9,1.6,0,0.0,0,128.0,
2,young,722,7,1,264,0,2,1,0,30,327,33,85,11674,127.3,4345,0.3,0.7,132.0,2051,3.9,0.0,0.5,3.3,1,0,1010,1846,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,62,121.6,1.5,1,1.9,0,192.0,
3,young,1095,6,1,759,0,2,0,0,10,161,62,150,22728,254.9,1615,0.1,0.8,196.0,3593,7.9,0.1,0.7,7.0,1,0,1989,3128,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,97,191.9,1.1,1,1.9,0,320.0,
4,full-cycle,1513,14,555,0,0,0,0,0,17,6,0,24,44152,447.7,11605,0.9,0.9,324.0,6169,17.6,0.1,1.2,16.2,1,0,3539,5392,568,669,102,11472,10,49,14,0,0,0,168,0,0.0,1,1,159,318.0,1.9,1,1.9,0,320.0,starved
5,young,712,7,1,217,0,6,0,0,36,311,160,120,76635,765.6,4877,0.3,1.2,326.0,8735,25.9,0.1,1.6,24.0,1,0,6104,7621,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,162,318.9,2.9,1,1.9,0,512.0,
6,young,1673,12,2,716,0,5,1,0,24,344,162,500,83571,1086.2,8134,0.7,2.0,538.0,12847,31.3,0.5,4.9,25.3,2,0,8692,11606,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,265,509.1,19.7,2,3.8,0,512.0,
7,young,1879,864,4,421,0,6,0,0,22,281,264,222,1299012,1592.5,3194,0.2,2.2,538.0,16930,1208.7,0.6,6.0,1201.3,2,0,12801,12476,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,266,511.3,19.0,2,3.8,0,512.0,
8,young,1249,25,4,648,0,4,0,0,17,261,264,213,1368919,2100.0,1650,0.1,2.3,538.0,21012,1275.9,1.1,9.0,1264.8,2,0,16912,13072,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,267,512.0,18.7,2,3.8,0,512.0,
9,young,1650,32,4,918,0,7,0,0,26,340,261,247,1384290,2611.4,16158,1.0,3.3,538.0,25074,1286.0,1.2,10.2,1273.3,2,0,21029,15583,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,267,510.7,18.6,2,3.8,0,512.0,
10,young,1754,96,4,401,0,4,1,0,241,590,267,334,1402610,3121.8,11459,0.7,4.0,538.0,29177,1296.9,1.4,11.6,1282.3,2,0,25163,18830,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,266,510.7,17.2,2,3.8,0,512.0,
11,young,1805,9,3,547,0,8,1,1,261,605,264,362,1421472,3632.6,10866,0.7,4.7,538.0,33265,1307.9,1.5,13.0,1291.5,2,0,29280,22078,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,267,511.1,16.4,2,3.8,0,512.0,
12,young,1529,14,3,385,0,36,1,0,129,539,259,383,1435361,4138.8,3995,0.4,5.1,538.0,37373,1313.9,1.6,14.0,1296.2,2,0,33428,25297,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,267,511.7,15.4,2,3.8,0,512.0,
13,young,1935,12,3,484,0,4,0,1,445,557,266,357,1451644,4650.3,15701,1.2,6.3,538.0,41494,1323.1,1.8,15.7,1303.1,2,0,37580,28659,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,266,510.0,15.0,2,3.8,0,512.0,
14,young,1126,8,4,362,0,8,1,0,95,319,248,324,1462427,5156.1,1942,0.1,6.4,540.0,45607,1327.4,1.8,16.6,1306.4,2,0,41719,31836,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,267,510.9,14.4,2,3.8,0,512.0,
15,young,1602,16,4,565,0,5,1,0,42,584,267,321,1473847,5667.0,4496,0.2,6.6,540.0,49749,1332.9,2.0,17.8,1310.0,2,0,45886,35316,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,267,511.8,13.2,2,3.8,0,512.0,
16,young,1602,11,3,576,0,9,1,0,61,570,267,341,1487519,6178.6,7106,0.3,6.9,540.0,53878,1339.3,2.2,19.1,1314.6,2,0,50040,38642,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,267,511.6,13.0,2,3.8,0,512.0,
17,young,2379,770,3,514,0,5,1,0,157,542,267,318,1508889,6690.1,7379,0.3,7.2,540.0,58027,1353.8,2.4,20.6,1326.9,2,0,54227,41884,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1,266,511.3,12.4,2,3.8,0,512.0,
18,young,1609,148,4,454,0,4,0,0,163,503,263,303,1571983,7198.5,8980,0.5,7.7,540.0,62170,1414.0,2.9,23.4,1383.6,2,0,58403,42601,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,268,511.7,13.7,2,3.8,0,512.0,
19,young,1986,32,4,544,0,6,0,0,77,745,268,534,1610997,7710.1,7503,0.6,8.3,540.0,66303,1447.8,3.1,25.3,1414.4,2,0,62556,44807,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,268,509.7,13.4,2,3.8,0,512.0,
20,young,3143,26,7,966,0,10,1,0,359,903,268,742,1623483,8219.6,15650,1.1,9.4,544.0,70431,1450.9,3.3,26.8,1415.6,2,0,66740,48766,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,270,510.5,15.0,2,3.8,0,512.0,
21,young,2324,26,7,333,0,55,1,0,99,1241,268,548,1640322,8727.0,19644,2.9,12.3,548.0,74585,1458.4,3.4,28.0,1421.4,2,0,70939,51965,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,272,509.0,17.4,2,3.8,0,512.0,
22,young,2362,21,5,188,0,13,1,0,68,1350,272,682,1653579,9235.5,19869,1.8,14.1,554.0,78813,1463.7,3.6,29.2,1425.1,2,0,75147,55497,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,275,510.3,20.1,2,3.8,0,512.0,
23,young,2932,20,4,1583,0,11,1,0,62,666,275,526,1676094,9742.5,19186,1.7,15.8,558.0,83028,1480.1,3.8,30.7,1439.5,2,0,79401,57330,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,274,509.2,22.2,2,3.8,0,512.0,
24,young,2886,291,7,435,0,19,1,0,94,1133,277,858,1690808,10245.9,18769,1.9,17.7,558.0,87220,1486.1,3.9,31.8,1444.0,2,0,83638,60712,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,277,509.9,20.4,2,3.8,0,512.0,
25,young,1914,20,5,395,0,13,1,0,67,804,277,584,1704294,10755.9,11441,1.0,18.7,558.0,91466,1491.8,4.1,33.2,1447.8,2,0,87910,64345,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,277,509.8,18.1,2,3.8,0,512.0,
26,young,1905,18,4,559,0,19,1,0,153,504,276,624,1718588,11265.4,5344,1.6,20.3,588.0,95731,1499.8,4.4,35.0,1453.3,28,0,92200,68007,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,277,510.1,17.1,17,31.7,0,512.0,
27,young,2637,28,6,524,0,11,1,0,73,1197,277,744,1731174,11775.1,19376,2.0,22.4,588.0,100004,1504.9,4.7,36.2,1456.7,40,0,96482,71759,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,277,509.9,15.4,17,31.0,0,512.0,
28,young,2710,42,7,589,0,10,1,0,65,1306,277,644,1780052,12281.8,21277,2.0,24.4,588.0,104293,1550.9,5.1,38.7,1499.3,48,0,100782,72754,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,277,509.4,13.7,17,30.6,0,512.0,
29,young,2332,88,6,547,0,8,1,0,47,936,277,636,1833520,12789.1,17056,2.0,26.4,590.0,108605,1601.5,5.5,41.6,1546.3,62,0,105107,73378,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,278,509.6,13.7,17,29.8,0,512.0,
30,young,2810,56,6,713,0,10,1,0,53,1228,278,698,1886254,13296.5,21660,1.7,28.0,592.0,112944,1651.8,5.9,44.6,1592.9,62,0,109436,74149,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,279,510.3,12.7,17,29.8,0,512.0,
31,young,2567,53,3,654,0,12,7,0,59,1063,279,685,1921633,13805.9,16744,1.4,29.5,594.0,117305,1683.1,6.3,46.6,1621.5,66,0,113792,75290,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,279,510.1,11.2,17,29.5,0,512.0,
32,young,2954,178,7,660,0,10,1,0,66,1260,279,706,1967097,14312.9,20112,1.5,30.9,598.0,121661,1725.3,6.6,49.1,1660.3,66,0,118160,76167,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,282,510.3,15.1,17,29.5,0,512.0,
33,young,3150,50,6,854,0,10,1,0,64,1297,282,808,2023961,14820.1,20120,1.5,32.4,598.0,126033,1779.6,7.0,52.1,1710.6,66,0,122545,76596,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,282,509.9,13.4,17,29.5,0,512.0,
34,young,3100,34,6,808,0,9,1,1,58,1232,282,894,2071663,15327.9,18508,1.5,33.9,600.0,130425,1827.4,11.2,54.7,1751.3,68,0,126943,77751,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,282,510.0,11.2,17,29.4,0,512.0,
35,young,2814,166,4,644,0,11,1,0,80,1006,282,865,2105079,15837.8,14386,1.1,35.0,600.0,134848,1867.9,23.5,56.7,1777.1,68,0,131353,79148,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,283,510.6,11.2,17,29.4,0,512.0,
36,young,3462,76,7,656,0,10,1,0,62,1593,283,1006,2158452,16345.8,23815,1.8,36.7,602.0,139268,1918.1,23.9,59.5,1823.7,68,0,135783,80125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,284,509.8,11.5,17,29.4,0,512.0,
37,young,3276,180,6,756,0,8,1,0,56,1186,284,1024,2214916,16853.7,19757,1.5,38.2,606.0,143710,1971.6,24.4,62.4,1873.5,68,0,140233,80603,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,286,510.3,13.0,17,29.4,0,512.0,
38,young,3455,111,6,934,0,10,1,0,58,1311,286,970,2274481,17364.2,21830,1.6,39.8,614.0,148185,2037.0,31.3,68.7,1925.3,68,0,144699,81204,0,0,0,0,0,0,0,0,0,0,0,48,0.0,1,5,284,509.4,17.4,17,29.4,0,512.0,
39,young,3460,68,6,920,0,11,1,0,70,1291,289,1058,2318857,17871.5,16996,1.3,41.1,616.0,152654,2077.9,31.7,71.2,1962.9,68,0,149161,81942,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,290,510.4,16.9,17,29.4,0,512.0,
