gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason,cold_n,fitdisc_n,disc_mb,req_mb
0,young,536,12,2,351,0,6,0,0,30,4,0,111,0,0.0,1780,0.2,0.2,66.0,513,0.3,0.0,0.2,0.0,0,0,4,513,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,32,61.8,1.9,0,0.0,0,64.0,,2,512,63.6,0.1
1,young,423,8,1,191,0,4,0,0,7,112,32,94,11902,61.8,1511,0.1,0.3,66.0,1024,4.3,0.0,0.3,3.9,0,0,496,896,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,63.9,1.6,0,0.0,0,128.0,,3,1021,126.8,0.1
2,young,828,7,1,255,0,3,1,0,37,423,33,92,14023,127.3,4341,0.3,0.6,130.0,2051,5.3,0.0,0.6,4.6,0,0,1010,1846,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,62,121.6,1.5,0,0.0,0,192.0,,4,2047,254.2,0.2
3,young,645,7,1,262,0,4,0,0,14,151,62,196,26389,252.9,1616,0.2,0.8,196.0,3593,9.7,0.1,0.8,8.6,1,0,1989,3148,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,97,191.9,1.1,1,1.9,0,320.0,,5,3588,445.8,0.3
4,full-cycle,1721,6,630,0,0,0,1,0,23,6,0,37,45481,445.7,11605,0.9,0.9,324.0,6168,18.0,0.1,1.3,16.4,1,0,3539,5476,637,790,90,11472,8,34,4,0,0,0,198,0,0.0,1,1,159,318.0,1.7,1,1.9,0,320.0,starved,7,6162,766.0,0.5
5,young,1078,10,3,362,0,10,1,0,59,402,160,209,79502,763.7,4876,0.4,1.3,328.0,8733,27.3,0.1,1.7,25.1,2,0,6104,7719,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,162,318.8,3.0,2,3.8,0,512.0,,13,8720,1081.5,0.7
6,young,1434,14,3,694,0,8,1,0,27,428,162,227,86883,1082.3,3902,0.3,1.6,528.0,12840,30.4,0.2,3.8,25.8,2,0,8671,11704,0,0,0,0,0,0,0,0,0,0,0,0,152.0,0,0,186,359.7,9.7,2,3.8,0,512.0,,23,12817,1590.6,1.0
7,young,1927,79,5,840,0,4,1,0,30,496,181,393,334634,1584.8,21599,1.8,3.4,536.0,16961,251.2,1.4,8.9,239.8,2,0,11588,14838,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,264,508.5,17.2,2,3.8,0,512.0,,60,16903,2095.4,1.8
8,young,1678,84,4,325,0,6,0,0,226,610,266,353,351943,2095.4,7345,0.5,3.9,536.0,21070,259.3,1.5,10.1,246.0,2,0,15697,18250,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,266,511.5,14.6,2,3.8,0,512.0,,91,20980,2598.5,2.0
9,young,2216,12,4,608,0,10,0,0,332,750,258,484,371616,2606.3,10975,0.8,4.7,536.0,25148,270.0,1.6,11.5,254.5,2,0,19823,21489,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,266,511.0,14.0,2,3.8,0,512.0,,121,25027,3097.2,2.3
