gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason,cold_n,fitdisc_n,disc_mb,req_mb
0,young,8344,18,4,6153,0,718,1,0,291,2,0,1071,0,0.0,229833,15.7,15.7,98.0,506,0.6,0.0,0.5,0.0,11,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,43,9.9,22.7,5,9.2,0,64.0,,38,0,0.2,0.4
1,young,14355,16,3,8700,0,887,1,1,310,3320,43,1055,784,9.9,205689,23.5,39.1,150.0,963,1.2,0.1,0.9,0.1,140,0,96,944,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,60,9.4,14.5,13,17.1,0,64.0,,75,0,0.4,0.8
2,young,13129,53,5,6021,0,52,1,0,255,5183,49,1526,1239,19.3,187091,17.3,56.4,206.0,1475,2.1,0.1,1.4,0.4,198,0,202,1372,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,87,10.4,17.4,14,15.6,0,128.0,,109,0,0.5,1.0
3,full-cycle,39300,63,5730,0,0,0,2,1,667,4274,132,694,1609,29.8,580900,60.0,60.0,354.0,2731,4.2,0.3,2.8,0.6,312,0,293,2577,5793,24044,7780,523331,15,2759,35,0,0,0,1672,0,0.0,1,0,160,230.5,1.9,16,13.0,0,128.0,starved,162,0,0.8,1.6
4,young,14691,42,4,6015,0,7,1,0,418,6987,142,1184,8402,260.4,212592,19.3,79.3,358.0,4843,5.4,0.4,3.3,0.9,346,0,2456,4583,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,160,165.9,1.9,18,14.3,0,207.3,,195,0,1.3,2.6
5,full-cycle,39046,52,4374,0,0,0,1,1,838,3455,153,868,10314,335.2,598558,61.1,61.1,454.0,9352,9.7,0.6,6.2,1.5,375,0,6323,8929,4426,21991,10042,500312,37,4711,965,0,0,0,2505,0,18.0,11,14,174,275.8,20.4,19,17.1,0,192.0,starved,281,0,2.4,4.8
6,young,11555,164,4,4822,0,8,1,1,620,5059,171,822,19724,630.9,176827,18.5,79.6,454.0,11756,14.2,0.7,6.9,4.8,425,0,8742,10063,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,1,198,220.4,20.4,19,13.9,0,207.6,,292,0,3.0,6.0
7,full-cycle,39134,196,6887,0,0,0,1,0,810,2157,160,824,23240,781.6,546199,58.8,58.8,458.0,16340,17.5,0.9,8.4,5.9,475,0,13180,14286,7083,19767,10036,447394,21,3772,3257,0,0,0,2223,0,6.0,5,16,186,311.4,9.2,19,15.2,0,192.0,starved,393,0,4.2,8.5
8,young,23284,87,6,12388,0,10,2,1,681,8510,186,1577,30822,1090.4,361655,32.6,91.4,458.0,18882,21.1,1.0,9.1,8.3,511,0,15729,15375,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,207,207.1,9.2,19,12.9,0,283.4,,402,0,4.8,9.6
9,full-cycle,37444,62,9915,0,0,0,2,1,984,1261,142,1010,32730,1188.2,575524,59.5,59.5,558.0,23739,24.9,1.3,11.0,9.2,517,0,19790,19941,9977,20778,4811,556581,12,2501,22,0,0,0,1866,0,50.0,0,1,234,381.3,0.0,19,19.0,0,256.0,starved,460,0,5.9,11.9
10,young,14589,63,4,7543,0,6,2,0,813,4447,226,1634,43845,1621.3,221574,20.4,79.9,558.0,27411,28.6,1.4,12.2,10.1,555,0,23515,23410,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,235,307.8,0.0,19,16.1,0,271.9,,496,0,6.7,13.6
11,young,17214,54,7,6500,0,8,1,1,791,6922,225,2862,48858,1807.8,261398,21.6,101.4,558.0,31614,30.8,1.5,13.4,10.3,566,0,27788,27645,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,235,213.4,0.0,19,15.3,0,293.4,,540,0,7.7,15.7
12,full-cycle,45739,90,7675,0,0,0,2,1,1136,2356,193,1163,54178,2005.4,622753,66.0,66.0,670.0,34758,127.2,82.1,27.1,11.9,617,0,29804,30232,7765,20040,14852,471961,58,6132,5139,0,0,0,2996,0,54.0,9,13,267,450.0,16.5,19,14.1,0,258.0,starved,646,0,8.4,17.1
13,young,17374,106,4,8567,0,16,1,1,829,6928,233,843,66610,2512.9,191181,17.8,83.8,670.0,37726,130.8,82.2,27.9,14.2,629,0,32797,31955,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,289,391.1,16.5,19,13.3,0,275.8,,652,0,9.2,18.6
14,young,20474,30,6,11307,0,9,1,1,883,6136,226,2013,70836,2699.6,207273,17.0,100.8,670.0,41449,133.0,82.3,29.0,14.6,636,0,36573,35598,0,0,0,0,0,0,0,0,0,0,0,1,54.0,0,0,289,299.8,16.5,19,12.8,0,292.8,,691,0,10.0,20.4
15,full-cycle,49650,62,5484,0,0,0,1,1,1286,4386,212,1316,76327,2925.6,625137,64.9,64.9,684.0,46308,136.9,82.6,30.5,15.9,673,0,40908,40015,5546,24810,16269,497796,38,8926,1595,0,0,0,2928,0,44.0,8,13,280,475.2,14.9,19,15.7,0,256.9,starved,800,0,11.2,23.0
16,young,22285,176,6,11648,0,13,2,1,971,7874,233,1538,92016,3449.9,186194,18.4,83.3,684.0,49670,141.2,82.7,31.5,18.7,714,0,44282,42041,0,0,0,0,0,0,0,0,0,0,0,1,46.0,0,0,300,413.9,13.0,19,13.1,0,275.3,,808,0,12.0,24.6
17,young,21597,55,7,10373,0,12,1,1,921,8125,246,2016,96953,3633.0,226143,18.7,102.0,684.0,52565,144.2,82.8,32.9,19.6,727,0,47234,44642,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,2,298,330.1,13.0,19,12.3,0,294.0,,844,0,12.6,25.8
18,full-cycle,49793,37,6163,0,0,0,1,1,1185,3715,187,1197,103126,3886.7,631996,65.0,65.0,684.0,58532,149.3,83.0,34.6,21.9,772,0,52979,49724,6200,22468,12342,504257,34,5371,2018,0,0,0,8706,1,68.0,8,28,253,423.0,14.5,19,14.7,0,257.0,starved,947,0,13.9,28.6
19,young,22107,108,4,12468,0,12,1,1,828,6723,237,1879,115550,4366.4,307226,30.3,95.4,684.0,61194,153.3,83.1,35.7,24.2,831,0,55653,51140,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,288,360.9,12.6,19,11.2,0,287.4,,954,0,14.5,29.9
20,young,17735,100,6,6835,0,13,1,1,883,7181,256,2632,122413,4529.2,199971,15.9,111.2,684.0,65228,155.7,83.3,36.9,24.6,833,0,59747,55126,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,288,287.5,12.6,19,11.0,0,303.2,,998,0,15.4,31.8
21,full-cycle,48693,68,6926,0,0,0,2,1,1263,2614,209,1286,128465,4780.0,635092,65.9,65.9,704.0,69183,160.0,83.5,38.3,26.7,862,0,63026,58424,6993,21514,17130,482384,49,7935,5239,0,0,0,2966,0,34.0,10,15,291,498.9,18.4,19,15.3,0,257.9,starved,1089,0,16.3,33.6
22,young,15397,106,6,7406,0,11,1,1,812,5410,239,1559,144723,5313.7,194393,18.8,84.7,704.0,72988,165.1,83.8,39.4,29.8,875,0,66850,60065,0,0,0,0,0,0,0,0,0,0,0,1,34.0,0,0,316,428.0,18.4,19,14.3,0,276.7,,1103,0,17.2,35.4
23,young,23066,119,56,11660,0,11,1,0,872,7900,243,2338,148567,5485.4,260004,22.4,107.1,704.0,76204,167.7,83.9,40.4,30.8,913,0,70150,63010,0,0,0,0,0,0,0,0,0,0,0,1,34.0,0,0,316,332.4,18.4,19,11.8,0,299.1,,1154,0,18.0,37.0
24,full-cycle,44288,42,8234,0,0,0,1,1,1125,2668,193,1138,153718,5692.3,519305,58.7,58.7,704.0,80342,170.9,84.0,41.7,31.8,935,0,74278,66830,8277,19255,14174,449238,26,9462,874,0,0,0,2489,0,66.0,6,14,280,498.2,11.1,19,13.8,0,256.0,starved,1249,0,18.9,38.8
25,young,13260,35,7,6607,0,10,1,1,802,5031,239,682,167697,6237.7,182402,18.1,76.8,704.0,83133,175.1,84.1,42.5,34.7,967,0,77079,68477,0,0,0,0,0,0,0,0,0,0,0,0,68.0,0,3,296,436.7,9.2,19,11.8,0,268.8,,1255,0,19.6,40.2
26,young,25548,26,8,12277,0,10,1,0,884,10018,250,2216,172002,6427.4,306437,25.9,102.7,704.0,85543,176.9,84.2,43.3,35.1,992,0,79559,70838,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,299,337.0,9.2,20,12.1,0,294.7,,1296,0,20.1,41.3
27,young,16902,39,6,6667,0,11,2,0,926,6406,289,2762,176464,6606.9,172654,13.5,116.2,704.0,89855,180.1,84.4,44.5,36.2,992,0,83926,74941,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,299,260.0,9.2,20,12.1,0,308.2,,1335,0,21.0,43.1
28,full-cycle,42749,109,9631,0,0,0,2,0,1224,2651,193,1252,182839,6858.0,562158,60.5,60.5,752.0,93577,183.8,84.6,46.0,37.6,1025,0,86835,78174,9740,21778,8369,526736,19,4344,96,0,0,0,2841,0,76.0,3,14,301,530.5,5.6,20,16.8,0,256.0,starved,1448,0,21.9,44.9
29,young,20230,157,6,12600,0,10,2,1,914,5394,243,1071,198937,7454.7,323674,28.1,88.6,752.0,96444,187.9,84.7,46.8,40.3,1030,0,89699,79830,0,0,0,0,0,0,0,0,0,0,0,0,76.0,0,0,318,442.1,5.6,20,16.4,0,280.6,,1454,0,22.6,46.3
30,young,13890,104,7,7489,0,8,1,1,796,3011,254,2384,202648,7611.2,145750,13.8,102.4,752.0,100866,191.0,84.9,48.0,41.4,1073,0,94188,83934,0,0,0,0,0,0,0,0,0,0,0,0,76.0,0,0,318,359.0,5.6,20,13.8,0,294.4,,1493,0,23.6,48.4
31,young,18202,36,7,10974,0,12,2,1,895,3250,287,2927,207158,7822.1,165834,13.6,116.0,752.0,103862,192.8,85.0,49.0,41.6,1079,0,97238,86971,0,0,0,0,0,0,0,0,0,0,0,0,76.0,0,0,318,301.4,5.6,20,13.4,0,308.0,,1535,0,24.3,49.8
32,full-cycle,47516,64,5222,0,0,0,1,1,1313,3644,214,1345,215902,8104.5,653536,67.1,67.1,780.0,107430,197.5,85.2,50.7,43.2,1112,0,100091,89945,5286,22324,16050,472840,62,5576,5416,0,0,0,3761,0,82.0,10,16,303,518.0,18.7,20,17.0,0,259.1,starved,1636,0,25.1,51.4
33,young,19162,59,6,10369,0,10,2,0,723,7041,262,854,229584,8687.7,218015,21.2,88.3,780.0,110199,201.5,85.3,51.5,45.9,1134,0,102879,91556,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,1,328,461.5,18.7,20,15.4,0,280.3,,1652,0,25.8,52.8
34,young,17757,37,7,7911,0,9,1,1,814,6327,242,2543,233913,8875.6,246021,20.5,108.8,780.0,114681,204.4,85.5,52.7,46.7,1150,0,107433,95867,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,329,359.3,18.7,20,14.3,0,300.8,,1702,0,26.8,54.9
35,young,28431,32,8,13809,0,10,1,1,960,10701,282,2831,239871,9065.8,338166,27.4,136.2,780.0,118057,207.4,85.6,53.8,47.9,1150,0,110890,98863,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,329,247.5,18.7,20,14.3,0,328.2,,1753,0,27.6,56.5
36,full-cycle,36655,39,5290,0,0,0,1,0,1226,2571,197,1285,245621,9314.8,548429,59.8,59.8,832.0,121592,211.5,85.9,55.3,49.6,1162,0,113383,101777,5330,21163,7807,480453,18,3163,763,0,0,0,2342,0,148.0,2,15,305,544.1,3.7,20,17.7,0,256.0,promoted,1848,0,28.4,58.2
