gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason,cold_n,fitdisc_n,disc_mb,req_mb
0,young,8295,16,4,6066,0,690,1,0,274,2,0,1163,0,0.0,232339,15.7,15.7,96.0,508,0.7,0.0,0.5,0.0,10,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,43,9.9,22.5,4,7.4,0,256.0,,38,0,0.2,0.3
1,young,23940,84,4,17402,0,831,2,0,1269,2344,44,1934,796,9.5,308521,39.3,55.0,334.0,2429,3.4,0.3,2.6,0.1,281,0,87,2412,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,153,154.7,12.5,13,8.8,0,256.0,,73,0,0.8,1.5
2,full-cycle,31448,52,7734,0,0,0,1,1,932,1552,112,970,4672,165.1,571456,59.4,59.4,448.0,4637,7.1,0.5,4.1,1.7,309,0,1394,4301,7785,16078,5610,547872,20,3033,29,0,0,0,1964,0,24.0,1,0,198,308.0,1.9,13,7.4,0,64.0,starved,132,0,1.3,2.5
3,young,7919,17,4,2623,0,7,1,0,224,4398,167,634,14837,494.8,166664,15.0,74.4,448.0,5302,8.0,0.5,4.3,2.2,341,0,2116,4967,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,199,268.9,1.9,16,10.7,0,256.0,,164,0,1.4,2.9
4,full-cycle,38140,29,7017,0,0,0,1,0,941,1546,144,963,16392,532.8,515296,54.2,54.2,470.0,11216,11.5,0.7,6.1,2.9,373,0,7902,10697,7046,16870,11806,431208,15,6842,2436,0,0,0,2401,0,50.0,1,16,177,295.1,1.7,16,11.0,0,64.0,starved,259,0,2.8,5.7
5,young,10808,50,4,5451,0,7,1,0,267,4194,146,783,25617,823.9,177740,16.9,71.1,470.0,11884,13.5,0.8,6.3,4.6,377,0,8562,10698,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,194,256.9,1.7,16,10.7,0,256.0,,262,0,2.9,6.0
6,full-cycle,48768,107,9013,0,0,0,1,1,1082,5197,161,1110,29536,899.2,595455,60.4,60.4,496.0,17428,17.4,1.0,8.1,5.6,431,0,13637,15879,9120,20477,16496,445918,91,8196,1896,0,0,0,2595,0,20.0,8,16,198,325.2,14.6,16,11.3,0,64.0,starved,352,0,4.2,8.6
7,young,13949,32,5,6754,0,12,1,1,307,5925,158,850,40150,1187.8,179346,16.5,76.8,496.0,18149,19.2,1.0,8.4,6.9,438,0,14370,15879,0,0,0,0,0,0,0,0,0,0,0,1,20.0,0,0,222,284.9,14.6,16,10.8,0,256.0,,361,0,4.4,9.0
8,full-cycle,45588,112,7468,0,0,0,1,2,1015,2878,180,1032,42496,1272.0,603088,61.4,61.4,500.0,24203,23.5,1.3,10.2,8.3,478,0,20282,21419,7580,20130,14796,478705,28,8416,2437,0,0,0,3000,0,6.0,9,15,206,337.7,16.6,17,13.1,0,64.0,starved,445,0,5.7,11.7
9,young,14121,104,5,9132,0,9,1,1,282,3620,147,926,54154,1569.8,211479,20.2,81.6,500.0,25128,26.7,1.3,10.6,11.0,502,0,21220,21529,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,230,293.2,16.6,17,11.5,0,256.0,,452,0,6.0,12.2
