gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason,cold_n,fitdisc_n,disc_mb,req_mb
0,young,9901,20,4,8431,0,116,1,0,276,2,0,966,0,0.0,228248,15.5,15.5,96.0,506,0.6,0.0,0.5,0.0,11,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,42,10.2,20.7,5,9.2,0,64.0,,38,0,0.2,0.4
1,young,11729,15,4,5648,0,660,1,1,264,3857,42,1228,814,9.7,223989,25.0,40.5,148.0,956,1.1,0.1,0.8,0.1,145,0,106,925,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,63,9.6,17.1,11,12.8,0,64.0,,78,0,0.4,0.8
2,young,17921,18,5,10723,0,14,1,1,215,5468,47,1436,1131,18.8,186894,23.8,64.3,200.0,1407,1.9,0.1,1.2,0.3,311,0,185,1295,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,83,3.9,12.1,17,14.9,0,64.3,,107,0,0.5,1.0
3,full-cycle,36397,62,7502,0,0,0,2,0,391,2945,108,415,1405,22.5,597079,61.3,61.3,294.0,2171,3.2,0.2,2.0,0.6,311,0,228,2021,7563,22376,4928,550000,21,1515,27,0,0,0,1523,0,0.0,1,0,129,165.6,1.9,17,15.0,0,64.0,promoted,167,0,0.7,1.4
4,young,14475,56,5,4618,0,8,1,1,241,8122,114,1390,7257,188.2,251242,22.4,83.7,294.0,3733,4.0,0.3,2.4,0.7,344,0,1849,3481,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,130,104.0,1.9,17,12.5,0,83.7,,203,0,1.2,2.4
5,full-cycle,46818,100,10218,0,0,0,1,1,429,2677,134,450,7858,197.6,543988,57.0,57.0,330.0,7325,6.3,0.4,3.7,1.2,352,0,5323,7035,10317,20173,14217,471430,18,10223,844,0,0,0,2097,0,4.0,1,12,133,198.8,1.9,17,14.5,0,64.0,starved,276,0,1.9,4.1
6,young,13206,125,4,7687,0,8,1,0,238,4156,133,936,14400,369.5,145595,14.1,71.1,330.0,8343,9.1,0.4,4.0,3.5,377,0,6348,7213,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,145,157.0,0.0,17,12.5,0,71.1,,292,0,2.2,4.7
7,young,17206,99,4,12457,0,6,2,0,282,2538,128,1772,15586,409.9,230311,17.9,89.1,330.0,9924,10.2,0.5,4.4,4.0,378,0,7975,8555,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,145,94.6,0.0,17,12.5,0,89.1,,324,0,2.6,5.4
8,full-cycle,54782,75,5870,0,0,0,2,1,546,6653,141,576,16868,436.5,670049,66.5,66.5,408.0,12980,12.8,0.6,5.8,4.6,430,0,10577,11466,5945,28325,17438,474455,37,7813,2354,0,0,0,2996,1,10.0,8,14,158,226.7,14.7,19,18.1,0,66.5,starved,411,0,3.3,6.9
9,young,12532,21,5,5803,0,12,1,0,249,5441,152,941,24419,641.5,212373,18.6,85.1,408.0,13655,15.7,0.7,6.1,7.1,445,0,11263,11747,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,179,186.6,12.9,19,17.0,0,85.1,,419,0,3.5,7.4
